Category,JEE Marks,MHT-CET Marks,Branch,10th Marks,12th Marks
SC,275,26,Computer Science,58,53
ST,51,110,Electrical,97,59
General,51,128,Civil,77,69
SC,79,191,Chemical Engineering,56,81
OBC,211,0,Biotechnology,65,77
OBC,0,49,Civil,84,58
SC,269,114,Biotechnology,68,62
General,188,6,Computer Science,81,63
OBC,0,32,Biotechnology,93,54
ST,226,162,Chemical Engineering,89,63
OBC,70,94,Civil,63,89
General,241,182,Mechanical,98,78
OBC,227,119,Biotechnology,74,87
OBC,29,66,Biotechnology,55,72
OBC,50,133,Civil,88,98
OBC,27,187,Mechanical,96,54
ST,155,173,Computer Science,66,51
SC,290,56,Chemical Engineering,88,53
ST,143,63,Civil,76,78
ST,233,116,Mechanical,85,70
OBC,44,36,Chemical Engineering,49,62
General,279,184,Mechanical,67,79
General,129,77,Mechanical,68,72
General,123,22,Electrical,99,86
OBC,107,59,Computer Science,93,59
SC,194,2,Chemical Engineering,68,52
SC,60,198,Mechanical,50,69
SC,137,36,Mechanical,84,55
OBC,139,115,Mechanical,76,88
OBC,196,93,Mechanical,60,60
OBC,45,119,Civil,92,92
SC,144,130,Biotechnology,67,53
SC,166,136,Biotechnology,75,85
SC,262,118,Biotechnology,68,59
OBC,74,139,Biotechnology,62,86
General,125,190,Mechanical,84,91
OBC,186,88,Mechanical,61,56
ST,112,37,Mechanical,65,89
ST,145,0,Mechanical,71,95
General,9,200,Computer Science,93,85
General,241,181,Mechanical,89,80
OBC,216,125,Biotechnology,67,86
ST,4,9,Electrical,51,52
ST,0,0,Electrical,53,60
SC,147,137,Biotechnology,71,58
SC,87,185,Chemical Engineering,50,82
ST,244,157,Chemical Engineering,86,63
ST,14,6,Electrical,98,86
OBC,17,167,Electrical,92,69
OBC,126,72,Chemical Engineering,99,90
OBC,41,124,Civil,92,93
General,186,45,Chemical Engineering,62,97
OBC,270,143,Chemical Engineering,77,83
SC,275,123,Computer Science,57,68
ST,278,144,Computer Science,67,73
General,246,200,Electrical,78,61
OBC,265,184,Computer Science,68,78
SC,171,132,Biotechnology,77,91
OBC,168,36,Electrical,73,73
SC,171,12,Mechanical,85,54
General,49,122,Civil,80,73
OBC,33,57,Biotechnology,62,79
OBC,37,71,Biotechnology,58,76
ST,231,126,Mechanical,81,73
OBC,27,34,Chemical Engineering,51,65
SC,42,86,Civil,71,68
ST,149,1,Mechanical,77,94
SC,151,133,Biotechnology,71,52
SC,131,35,Mechanical,84,58
General,20,24,Biotechnology,68,76
General,243,182,Mechanical,91,77
SC,116,113,Chemical Engineering,74,89
General,204,16,Chemical Engineering,65,64
General,28,64,Biotechnology,82,76
OBC,77,127,Biotechnology,64,79
General,180,21,Electrical,50,85
General,206,18,Chemical Engineering,64,65
ST,173,18,Computer Science,90,62
OBC,97,188,Mechanical,69,100
SC,185,15,Chemical Engineering,69,62
OBC,18,75,Mechanical,62,80
OBC,222,9,Biotechnology,57,75
ST,240,155,Chemical Engineering,85,55
OBC,18,167,Electrical,100,65
OBC,48,193,Chemical Engineering,72,88
ST,68,94,Electrical,98,63
ST,140,170,Computer Science,66,51
General,190,11,Electrical,52,91
OBC,16,169,Electrical,96,67
General,117,27,Electrical,99,90
General,217,196,Biotechnology,91,86
SC,279,152,Civil,90,86
SC,275,121,Biotechnology,68,61
OBC,19,73,Mechanical,61,80
ST,147,177,Computer Science,59,52
OBC,45,121,Civil,93,92
ST,142,79,Civil,73,76
SC,30,88,Civil,77,71
General,18,22,Biotechnology,60,82
OBC,16,76,Mechanical,59,74
OBC,275,195,Computer Science,73,75
OBC,2,139,Biotechnology,60,77
ST,156,181,Computer Science,65,48
General,121,64,Mechanical,71,72
SC,273,130,Biotechnology,65,58
ST,7,0,Civil,60,80
SC,105,116,Chemical Engineering,74,93
SC,275,124,Computer Science,60,76
ST,61,152,Mechanical,59,46
General,227,162,Mechanical,46,60
General,243,187,Mechanical,94,76
ST,49,147,Mechanical,52,49
OBC,129,60,Chemical Engineering,93,87
General,43,111,Civil,81,72
ST,230,167,Chemical Engineering,92,59
OBC,70,88,Chemical Engineering,77,58
OBC,143,117,Mechanical,78,95
OBC,198,92,Mechanical,53,57
OBC,125,35,Mechanical,64,90
SC,127,31,Mechanical,87,55
OBC,268,154,Chemical Engineering,74,88
OBC,70,104,Civil,66,86
SC,272,124,Computer Science,56,68
OBC,8,134,Biotechnology,62,76
ST,230,165,Chemical Engineering,86,60
ST,153,171,Computer Science,62,45
ST,244,98,Computer Science,93,76
SC,135,48,Mechanical,85,59
ST,105,33,Civil,49,64
OBC,140,43,Civil,48,95
OBC,35,25,Chemical Engineering,53,66
ST,170,26,Computer Science,83,60
ST,11,9,Civil,57,80
SC,36,118,Mechanical,53,78
SC,154,133,Biotechnology,78,90
SC,271,132,Computer Science,56,72
General,152,46,Civil,73,82
General,21,24,Biotechnology,61,78
General,180,2,Computer Science,85,59
OBC,181,42,Civil,55,81
SC,111,115,Chemical Engineering,76,90
General,187,31,Computer Science,67,81
SC,139,39,Mechanical,90,62
SC,284,151,Civil,85,91
ST,230,104,Computer Science,85,80
General,281,182,Mechanical,67,84
OBC,67,157,Mechanical,80,65
OBC,161,26,Electrical,69,52
OBC,189,141,Biotechnology,76,53
SC,280,157,Civil,85,95
ST,44,140,Mechanical,52,51
SC,32,179,Chemical Engineering,66,81
OBC,33,68,Biotechnology,60,79
ST,287,140,Computer Science,65,72
SC,54,192,Electrical,93,54
SC,89,185,Electrical,58,89
SC,155,139,Biotechnology,72,56
General,149,53,Civil,78,80
OBC,6,149,Biotechnology,62,76
OBC,114,61,Computer Science,89,56
ST,269,150,Electrical,94,96
ST,58,98,Electrical,97,62
General,184,17,Electrical,53,90
General,210,32,Chemical Engineering,65,66
OBC,211,6,Biotechnology,59,71
ST,142,71,Civil,81,76
ST,84,172,Computer Science,88,93
ST,75,39,Biotechnology,90,82
ST,234,160,Chemical Engineering,89,55
OBC,37,69,Biotechnology,55,71
OBC,129,58,Chemical Engineering,93,86
OBC,0,56,Civil,83,53
OBC,22,155,Electrical,96,64
OBC,160,47,Electrical,72,70
OBC,89,180,Mechanical,69,93
General,237,175,Mechanical,52,62
ST,55,139,Mechanical,58,49
OBC,49,189,Chemical Engineering,68,84
SC,164,121,Biotechnology,81,91
General,280,179,Mechanical,69,77
ST,295,141,Computer Science,64,81
SC,266,21,Computer Science,57,59
General,133,31,Electrical,95,94
General,12,196,Computer Science,91,85
OBC,2,46,Civil,87,57
General,158,74,Biotechnology,69,59
OBC,182,89,Electrical,51,81
SC,268,118,Biotechnology,64,64
SC,225,193,Chemical Engineering,49,77
OBC,79,123,Biotechnology,64,87
General,155,0,Computer Science,98,96
ST,139,78,Civil,80,80
ST,104,25,Mechanical,63,90
General,273,178,Mechanical,66,84
ST,209,191,Mechanical,87,74
ST,157,18,Computer Science,92,67
OBC,48,200,Chemical Engineering,73,92
General,242,163,Mechanical,48,63
OBC,46,190,Chemical Engineering,76,85
OBC,193,82,Mechanical,59,64
SC,56,181,Electrical,97,57
OBC,141,109,Mechanical,73,86
OBC,164,33,Electrical,68,75
OBC,16,156,Electrical,94,68
OBC,268,190,Computer Science,73,77
OBC,218,0,Biotechnology,61,72
ST,73,27,Biotechnology,85,85
OBC,51,134,Civil,95,94
OBC,291,52,Mechanical,85,80
General,17,63,Biotechnology,83,81
SC,182,1,Chemical Engineering,69,54
ST,13,1,Electrical,99,86
General,231,171,Mechanical,95,75
ST,84,167,Computer Science,97,98
OBC,216,122,Biotechnology,78,92
SC,277,133,Biotechnology,68,66
SC,108,109,Chemical Engineering,77,91
OBC,180,137,Biotechnology,73,56
OBC,127,37,Mechanical,64,83
OBC,128,58,Electrical,89,84
OBC,111,40,Mechanical,59,88
SC,181,15,Chemical Engineering,61,50
OBC,3,142,Biotechnology,57,79
OBC,56,129,Civil,93,94
SC,86,179,Chemical Engineering,56,76
General,129,34,Electrical,93,88
General,17,72,Biotechnology,89,77
OBC,0,23,Biotechnology,89,52
SC,90,178,Chemical Engineering,53,81
OBC,204,29,Chemical Engineering,72,58
General,156,75,Biotechnology,76,54
General,247,176,Mechanical,90,77
General,243,170,Mechanical,92,77
ST,18,5,Civil,57,78
ST,281,128,Computer Science,64,77
OBC,186,47,Civil,62,79
SC,271,138,Computer Science,54,75
OBC,223,12,Biotechnology,56,73
SC,115,115,Chemical Engineering,77,87
OBC,59,85,Chemical Engineering,77,59
ST,284,131,Computer Science,60,74
SC,293,55,Chemical Engineering,85,52
General,23,200,Computer Science,92,85
OBC,298,51,Mechanical,90,75
ST,101,30,Civil,52,59
General,13,65,Biotechnology,82,76
ST,72,28,Biotechnology,89,82
SC,83,196,Electrical,62,86
General,99,102,Biotechnology,75,69
OBC,39,189,Mechanical,92,48
ST,52,134,Mechanical,53,48
OBC,118,61,Electrical,88,83
ST,110,20,Mechanical,58,94
General,213,193,Biotechnology,89,85
ST,144,184,Computer Science,60,53
ST,143,199,Electrical,94,87
OBC,125,47,Civil,46,90
OBC,166,82,Electrical,54,78
ST,21,18,Civil,58,81
ST,208,188,Mechanical,89,72
General,124,193,Mechanical,88,83
OBC,126,59,Electrical,96,81
SC,187,20,Chemical Engineering,72,62
ST,150,171,Computer Science,65,50
ST,240,116,Computer Science,94,73
General,127,26,Electrical,97,91
SC,164,128,Biotechnology,79,84
ST,226,112,Computer Science,93,79
ST,162,0,Mechanical,73,92
ST,233,97,Computer Science,87,71
OBC,137,52,Civil,45,91
General,128,37,Electrical,100,87
OBC,188,88,Mechanical,57,61
ST,232,120,Mechanical,81,73
OBC,86,194,Mechanical,69,98
OBC,40,38,Chemical Engineering,50,66
OBC,137,52,Electrical,89,85
General,219,190,Biotechnology,95,77
General,191,7,Computer Science,88,65
SC,271,121,Computer Science,52,71
ST,93,24,Civil,55,66
ST,237,162,Chemical Engineering,83,63
OBC,167,84,Electrical,54,77
General,164,77,Biotechnology,73,59
OBC,173,151,Biotechnology,76,49
OBC,220,121,Biotechnology,75,93
OBC,128,56,Electrical,90,82
OBC,85,198,Mechanical,69,92
ST,234,171,Chemical Engineering,88,63
SC,273,135,Computer Science,59,69
OBC,6,155,Electrical,100,64
OBC,1,135,Biotechnology,54,71
ST,155,186,Computer Science,59,48
General,92,95,Biotechnology,73,72
ST,233,168,Chemical Engineering,89,56
General,14,30,Biotechnology,59,81
OBC,78,176,Mechanical,78,57
SC,148,137,Biotechnology,72,52
SC,170,149,Biotechnology,68,82
OBC,12,30,Biotechnology,98,58
OBC,101,181,Mechanical,72,93
General,158,51,Civil,77,80
OBC,227,121,Biotechnology,79,97
ST,156,16,Computer Science,87,63
ST,285,130,Computer Science,67,79
SC,277,25,Computer Science,59,58
OBC,11,161,Electrical,94,65
OBC,50,0,Biotechnology,64,53
General,131,30,Electrical,99,85
SC,288,154,Civil,91,90
General,18,189,Computer Science,95,85
SC,36,169,Chemical Engineering,65,83
OBC,139,117,Mechanical,77,91
SC,272,121,Biotechnology,66,58
OBC,7,153,Electrical,97,65
OBC,186,56,Civil,55,81
OBC,93,198,Mechanical,73,94
OBC,18,84,Mechanical,58,77
OBC,75,98,Civil,63,90
ST,89,36,Civil,48,63
OBC,261,192,Computer Science,70,72
ST,141,68,Civil,79,80
General,269,182,Mechanical,71,78
SC,197,18,Chemical Engineering,71,66
OBC,23,154,Electrical,99,70
OBC,127,32,Mechanical,68,83
OBC,9,53,Civil,78,51
OBC,127,58,Electrical,92,82
OBC,16,163,Electrical,100,70
SC,164,145,Biotechnology,72,81
ST,168,28,Computer Science,85,63
ST,284,133,Computer Science,61,75
ST,90,174,Computer Science,89,94
SC,272,115,Biotechnology,66,62
ST,129,182,Electrical,99,93
OBC,2,26,Biotechnology,93,53
ST,129,197,Electrical,100,92
OBC,77,129,Biotechnology,59,85
OBC,222,130,Biotechnology,82,89
General,29,37,Biotechnology,61,82
ST,78,180,Computer Science,88,91
OBC,181,57,Civil,64,80
OBC,176,150,Biotechnology,69,56
General,109,169,Biotechnology,75,62
General,189,33,Computer Science,72,84
ST,0,9,Electrical,52,55
ST,240,116,Computer Science,87,74
ST,197,191,Mechanical,88,71
OBC,166,99,Electrical,50,78
SC,162,146,Biotechnology,77,84
ST,19,8,Electrical,97,87
ST,113,27,Mechanical,67,91
OBC,82,158,Mechanical,78,61
OBC,75,163,Mechanical,83,62
OBC,0,28,Biotechnology,91,61
OBC,0,24,Biotechnology,94,59
OBC,269,137,Chemical Engineering,76,84
ST,158,0,Mechanical,70,97
OBC,9,160,Electrical,92,66
General,205,33,Chemical Engineering,62,64
SC,154,162,Biotechnology,77,85
ST,27,13,Electrical,96,86
OBC,206,32,Chemical Engineering,65,52
General,111,168,Biotechnology,71,60
SC,163,154,Biotechnology,71,83
OBC,167,93,Electrical,50,86
SC,266,32,Computer Science,59,60
OBC,214,0,Biotechnology,58,77
ST,135,185,Electrical,97,92
General,177,33,Computer Science,68,82
OBC,85,120,Biotechnology,58,87
SC,192,15,Chemical Engineering,61,50
SC,167,15,Mechanical,87,51
OBC,166,91,Electrical,54,80
OBC,194,43,Civil,62,87
OBC,77,77,Chemical Engineering,69,58
General,239,200,Electrical,78,60
SC,101,111,Chemical Engineering,79,92
ST,53,91,Electrical,98,62
OBC,74,73,Chemical Engineering,77,53
General,183,14,Electrical,49,87
General,166,76,Biotechnology,71,62
General,212,24,Chemical Engineering,66,60
General,233,200,Electrical,73,60
ST,68,96,Electrical,99,68
General,29,37,Biotechnology,63,77
SC,59,187,Mechanical,49,74
ST,297,200,Biotechnology,72,94
General,57,116,Civil,83,70
ST,106,38,Mechanical,65,88
OBC,0,35,Biotechnology,89,59
OBC,272,148,Chemical Engineering,71,87
OBC,188,94,Mechanical,53,60
ST,85,170,Computer Science,88,100
ST,148,194,Electrical,100,91
ST,149,5,Mechanical,69,97
ST,29,0,Electrical,94,82
OBC,140,52,Civil,48,90
ST,239,113,Computer Science,88,77
SC,40,85,Civil,75,70
SC,178,11,Chemical Engineering,67,53
General,121,37,Electrical,95,94
OBC,99,65,Computer Science,93,60
ST,293,200,Biotechnology,74,93
OBC,201,28,Chemical Engineering,67,49
OBC,136,111,Mechanical,78,95
OBC,70,107,Civil,66,92
SC,155,142,Biotechnology,74,58
ST,239,121,Mechanical,80,72
OBC,186,155,Biotechnology,68,56
OBC,274,139,Chemical Engineering,72,88
OBC,208,114,Biotechnology,66,86
ST,294,144,Computer Science,62,74
ST,230,98,Computer Science,93,72
ST,237,130,Mechanical,82,72
General,251,200,Electrical,81,53
ST,153,181,Computer Science,59,50
OBC,3,40,Biotechnology,97,56
ST,232,165,Chemical Engineering,84,57
ST,297,126,Computer Science,58,80
General,199,17,Electrical,53,86
OBC,8,136,Biotechnology,58,79
ST,208,191,Mechanical,88,77
General,121,35,Electrical,93,88
OBC,70,101,Civil,63,90
OBC,111,41,Mechanical,60,87
General,96,173,Biotechnology,69,60
ST,159,183,Computer Science,59,45
SC,83,181,Electrical,63,90
SC,32,167,Chemical Engineering,61,81
ST,149,0,Mechanical,71,89
OBC,31,90,Mechanical,54,76
ST,140,78,Civil,76,75
General,133,61,Mechanical,76,69
SC,226,185,Chemical Engineering,56,73
OBC,213,118,Biotechnology,73,85
SC,62,192,Mechanical,50,73
OBC,177,152,Biotechnology,76,48
SC,30,166,Chemical Engineering,66,82
General,114,178,Biotechnology,74,62
OBC,278,186,Computer Science,72,81
SC,45,176,Chemical Engineering,59,81
ST,113,39,Mechanical,67,88
OBC,212,119,Biotechnology,81,95
OBC,129,59,Chemical Engineering,100,93
ST,63,101,Electrical,95,67
SC,40,125,Mechanical,53,83
OBC,267,197,Computer Science,70,72
OBC,52,200,Chemical Engineering,75,90
ST,286,145,Computer Science,65,74
SC,287,167,Civil,87,94
SC,280,152,Civil,87,91
SC,230,199,Chemical Engineering,56,77
General,214,200,Biotechnology,91,78
OBC,41,35,Chemical Engineering,54,66
ST,147,186,Electrical,100,87
OBC,21,89,Mechanical,62,79
OBC,184,49,Civil,63,88
ST,68,97,Electrical,100,68
OBC,214,4,Biotechnology,62,69
SC,86,189,Chemical Engineering,55,79
General,52,120,Civil,81,69
OBC,192,91,Mechanical,61,57
General,192,52,Chemical Engineering,63,93
SC,178,4,Chemical Engineering,64,45
OBC,9,37,Biotechnology,89,53
OBC,209,3,Biotechnology,63,70
OBC,151,19,Electrical,61,53
OBC,181,138,Biotechnology,70,50
SC,147,132,Biotechnology,68,59
ST,59,136,Mechanical,56,46
OBC,20,73,Mechanical,55,79
ST,233,159,Chemical Engineering,90,55
OBC,117,70,Chemical Engineering,95,86
General,238,170,Mechanical,47,64
OBC,111,67,Chemical Engineering,95,93
OBC,109,51,Computer Science,86,59
ST,16,4,Electrical,94,82
ST,10,16,Civil,54,84
SC,295,167,Civil,85,89
ST,117,29,Mechanical,63,92
General,130,39,Electrical,92,93
ST,116,28,Mechanical,67,94
ST,101,29,Mechanical,65,88
ST,83,168,Computer Science,93,92
OBC,72,94,Civil,68,90
OBC,163,35,Electrical,70,77
OBC,223,2,Biotechnology,64,74
SC,284,155,Civil,85,90
SC,190,23,Chemical Engineering,69,63
OBC,83,181,Mechanical,72,100
SC,185,10,Chemical Engineering,60,52
SC,165,16,Mechanical,88,49
OBC,15,132,Biotechnology,57,79
General,271,169,Mechanical,73,80
ST,132,199,Electrical,100,93
OBC,205,0,Biotechnology,64,75
OBC,73,128,Biotechnology,60,86
ST,98,30,Mechanical,67,94
ST,16,3,Electrical,93,85
SC,290,156,Civil,86,89
OBC,49,119,Civil,96,98
OBC,53,0,Biotechnology,68,48
SC,164,18,Mechanical,90,50
SC,41,79,Civil,80,66
OBC,152,124,Mechanical,72,94
General,186,7,Electrical,54,89
SC,110,115,Chemical Engineering,78,89
ST,93,37,Civil,47,66
OBC,53,190,Chemical Engineering,68,87
General,120,35,Electrical,92,91
OBC,33,21,Chemical Engineering,54,59
OBC,22,161,Electrical,96,69
General,116,34,Electrical,94,86
OBC,54,6,Biotechnology,70,50
OBC,185,140,Biotechnology,76,47
SC,118,124,Chemical Engineering,77,93
ST,287,137,Computer Science,67,75
OBC,77,157,Mechanical,78,58
General,185,11,Electrical,54,87
SC,85,184,Chemical Engineering,55,76
General,166,126,Computer Science,56,84
SC,296,53,Chemical Engineering,80,51
OBC,288,50,Mechanical,92,76
General,186,45,Chemical Engineering,61,94
ST,194,181,Mechanical,87,72
SC,162,158,Biotechnology,69,77
General,249,190,Electrical,73,62
OBC,200,37,Chemical Engineering,69,51
General,227,177,Mechanical,46,61
SC,192,20,Chemical Engineering,72,70
ST,240,128,Mechanical,88,76
General,53,124,Civil,78,73
SC,279,17,Computer Science,61,57
SC,228,190,Chemical Engineering,53,79
General,86,98,Biotechnology,80,73
OBC,28,69,Biotechnology,59,75
OBC,40,31,Chemical Engineering,52,59
ST,147,176,Computer Science,62,52
General,168,76,Biotechnology,70,56
ST,75,33,Biotechnology,84,83
General,160,50,Civil,75,82
ST,195,191,Mechanical,90,76
OBC,273,200,Computer Science,70,81
ST,291,137,Computer Science,58,76
OBC,40,187,Mechanical,94,50
ST,148,167,Computer Science,63,48
ST,143,62,Civil,76,78
OBC,0,133,Biotechnology,54,72
ST,18,10,Civil,59,84
ST,111,22,Mechanical,64,95
SC,41,77,Civil,71,71
OBC,194,78,Mechanical,59,62
OBC,76,166,Mechanical,74,62
General,188,6,Electrical,53,87
OBC,262,200,Computer Science,73,77
OBC,122,37,Mechanical,68,86
SC,137,41,Mechanical,88,57
SC,111,115,Chemical Engineering,72,86
General,159,117,Computer Science,57,89
General,229,163,Mechanical,48,65
ST,78,164,Computer Science,93,96
OBC,85,187,Mechanical,73,95
OBC,281,147,Chemical Engineering,71,87
General,125,200,Mechanical,91,87
General,187,9,Computer Science,88,59
OBC,82,170,Mechanical,80,64
ST,91,182,Computer Science,97,96
SC,37,171,Chemical Engineering,61,83
OBC,33,23,Chemical Engineering,55,66
SC,170,120,Biotechnology,77,92
OBC,36,200,Chemical Engineering,77,90
OBC,29,65,Biotechnology,58,77
ST,230,98,Computer Science,87,76
ST,256,154,Electrical,93,94
SC,175,11,Mechanical,89,54
OBC,13,154,Electrical,94,67
OBC,164,91,Electrical,54,80
OBC,46,195,Chemical Engineering,73,83
OBC,191,150,Biotechnology,72,56
SC,170,150,Biotechnology,76,86
ST,295,141,Computer Science,59,80
ST,147,65,Civil,77,77
ST,281,127,Computer Science,63,79
General,149,0,Computer Science,97,95
SC,271,116,Biotechnology,67,61
OBC,31,21,Chemical Engineering,51,64
OBC,118,62,Electrical,96,87
OBC,19,156,Electrical,94,70
General,113,181,Biotechnology,73,53
SC,55,188,Mechanical,56,68
OBC,295,63,Mechanical,92,73
ST,266,162,Electrical,96,91
OBC,198,85,Mechanical,54,58
OBC,73,120,Biotechnology,56,84
SC,163,145,Biotechnology,69,82
SC,55,200,Mechanical,57,72
ST,236,162,Chemical Engineering,89,59
OBC,79,98,Civil,64,92
OBC,176,97,Electrical,48,83
General,88,97,Biotechnology,77,76
ST,226,105,Computer Science,86,77
ST,88,165,Computer Science,95,93
SC,65,198,Mechanical,57,68
SC,59,182,Electrical,96,59
OBC,182,139,Biotechnology,76,54
OBC,73,107,Civil,66,89
ST,156,64,Civil,80,74
OBC,5,24,Biotechnology,93,54
OBC,6,50,Civil,82,52
ST,107,32,Civil,46,60
General,24,25,Biotechnology,62,80
OBC,138,60,Civil,50,90
SC,36,93,Civil,75,68
SC,278,121,Computer Science,57,70
OBC,197,20,Chemical Engineering,66,52
ST,26,4,Electrical,99,89
SC,283,30,Computer Science,55,59
General,148,50,Civil,81,84
ST,161,11,Computer Science,92,67
General,97,170,Biotechnology,77,62
ST,197,183,Mechanical,88,73
General,246,180,Mechanical,94,78
ST,141,183,Computer Science,64,47
SC,131,41,Mechanical,83,62
SC,266,123,Computer Science,56,75
OBC,206,28,Chemical Engineering,71,54
OBC,65,70,Chemical Engineering,78,59
ST,62,106,Electrical,100,65
SC,171,28,Mechanical,88,55
SC,280,28,Computer Science,58,57
ST,110,34,Mechanical,63,94
OBC,192,44,Civil,61,82
ST,60,39,Biotechnology,84,80
General,246,186,Mechanical,93,75
OBC,293,64,Mechanical,84,77
SC,159,160,Biotechnology,74,78
SC,155,125,Biotechnology,80,84
ST,22,15,Civil,57,78
SC,167,117,Biotechnology,72,88
OBC,70,170,Mechanical,78,57
General,108,175,Biotechnology,71,58
SC,51,200,Mechanical,56,74
SC,273,132,Biotechnology,63,60
ST,226,107,Computer Science,93,74
SC,118,115,Chemical Engineering,70,90
General,235,167,Mechanical,46,59
ST,240,134,Mechanical,83,68
OBC,6,133,Biotechnology,56,73
OBC,135,61,Civil,54,94
ST,243,132,Mechanical,79,73
OBC,165,93,Electrical,47,85
ST,157,179,Computer Science,62,46
OBC,38,184,Mechanical,88,49
ST,13,3,Electrical,100,84
SC,275,115,Biotechnology,65,59
General,196,13,Computer Science,87,67
ST,7,13,Electrical,52,52
General,188,42,Chemical Engineering,63,92
ST,75,169,Computer Science,93,94
General,148,0,Computer Science,98,100
General,251,192,Electrical,81,62
OBC,218,115,Biotechnology,75,90
General,170,111,Computer Science,53,83
SC,284,163,Civil,86,92
SC,266,30,Computer Science,54,59
General,248,200,Electrical,78,53
General,241,197,Electrical,75,60
ST,236,103,Computer Science,88,76
SC,282,134,Computer Science,52,73
General,185,11,Computer Science,81,61
SC,133,30,Mechanical,91,61
ST,148,196,Electrical,100,93
SC,90,178,Chemical Engineering,53,80
SC,51,182,Electrical,97,52
ST,166,26,Computer Science,88,61
General,267,179,Mechanical,69,85
ST,244,98,Computer Science,87,80
OBC,26,65,Biotechnology,56,78
ST,232,98,Computer Science,89,76
SC,57,197,Mechanical,48,66
OBC,9,47,Civil,85,58
SC,267,121,Biotechnology,62,66
SC,168,23,Mechanical,89,54
General,192,12,Computer Science,89,65
ST,70,109,Electrical,100,60
OBC,158,34,Electrical,73,70
OBC,6,59,Civil,87,59
OBC,33,60,Biotechnology,60,70
ST,29,6,Electrical,98,82
ST,159,14,Computer Science,85,63
OBC,72,128,Biotechnology,59,80
General,118,39,Electrical,93,90
OBC,221,118,Biotechnology,83,89
SC,174,25,Mechanical,83,55
SC,300,53,Chemical Engineering,80,51
OBC,23,83,Mechanical,57,75
SC,160,22,Mechanical,83,53
OBC,181,42,Civil,64,86
General,190,13,Electrical,51,93
General,156,47,Civil,76,86
SC,78,188,Electrical,61,85
OBC,112,42,Mechanical,60,83
ST,245,128,Mechanical,82,67
OBC,13,50,Civil,78,52
ST,101,24,Civil,52,61
OBC,51,200,Chemical Engineering,74,83
General,21,32,Biotechnology,65,75
ST,155,16,Computer Science,87,63
OBC,209,118,Biotechnology,70,84
OBC,36,186,Mechanical,96,49
SC,88,192,Electrical,65,91
OBC,122,43,Mechanical,62,86
ST,155,66,Civil,78,74
General,205,16,Chemical Engineering,59,64
SC,266,126,Computer Science,56,77
SC,199,10,Chemical Engineering,72,63
ST,133,186,Electrical,97,93
General,134,41,Electrical,97,91
ST,228,162,Chemical Engineering,91,64
OBC,180,94,Mechanical,53,55
ST,233,107,Computer Science,94,73
General,99,107,Biotechnology,75,71
OBC,270,191,Computer Science,71,72
ST,261,160,Electrical,88,89
OBC,215,0,Biotechnology,65,75
OBC,224,131,Biotechnology,81,92
SC,113,123,Chemical Engineering,71,89
SC,55,194,Mechanical,57,66
SC,281,22,Computer Science,61,54
SC,270,25,Computer Science,55,55
OBC,280,143,Chemical Engineering,73,89
SC,67,190,Mechanical,56,67
ST,156,179,Computer Science,59,49
OBC,42,20,Chemical Engineering,53,65
ST,240,110,Computer Science,94,80
SC,139,37,Mechanical,92,54
SC,186,13,Chemical Engineering,72,68
SC,289,57,Chemical Engineering,80,56
General,129,200,Mechanical,91,87
ST,150,66,Civil,73,81
OBC,137,119,Mechanical,79,89
SC,198,21,Chemical Engineering,67,62
OBC,125,63,Chemical Engineering,100,88
ST,42,145,Mechanical,60,49
OBC,15,164,Electrical,100,71
OBC,0,62,Civil,84,54
General,161,50,Civil,72,83
OBC,53,132,Civil,96,93
General,175,40,Computer Science,69,79
General,156,56,Civil,76,82
OBC,50,121,Civil,96,93
OBC,222,127,Biotechnology,84,91
OBC,123,40,Mechanical,59,81
ST,78,164,Computer Science,97,100
ST,151,69,Civil,82,74
SC,66,193,Mechanical,57,70
ST,261,162,Electrical,87,91
SC,89,187,Electrical,62,88
General,28,32,Biotechnology,63,80
OBC,3,53,Civil,81,59
SC,45,74,Civil,75,66
General,245,200,Electrical,74,60
SC,289,162,Civil,88,86
ST,108,30,Mechanical,62,91
SC,73,191,Electrical,64,87
OBC,109,52,Computer Science,86,59
OBC,222,7,Biotechnology,58,76
OBC,99,187,Mechanical,73,92
OBC,33,193,Mechanical,92,55
SC,145,129,Biotechnology,73,52
SC,42,168,Chemical Engineering,68,85
OBC,16,166,Electrical,99,71
OBC,89,184,Mechanical,72,100
SC,29,79,Civil,76,70
General,123,72,Mechanical,76,70
General,229,172,Mechanical,50,59
General,230,177,Mechanical,50,63
OBC,197,32,Chemical Engineering,67,51
General,21,195,Computer Science,92,87
OBC,144,13,Electrical,65,45
SC,175,23,Mechanical,82,49
General,136,76,Mechanical,68,71
OBC,170,88,Electrical,52,80
General,28,25,Biotechnology,60,75
OBC,83,97,Civil,64,85
ST,153,77,Civil,76,73
ST,23,12,Electrical,94,83
ST,240,118,Mechanical,82,69
OBC,215,12,Biotechnology,63,76
ST,57,31,Biotechnology,86,80
SC,262,128,Biotechnology,68,59
ST,51,146,Mechanical,59,47
General,273,169,Mechanical,70,84
ST,236,112,Computer Science,85,75
OBC,179,42,Civil,55,79
SC,137,139,Biotechnology,68,57
SC,158,159,Biotechnology,71,78
OBC,222,3,Biotechnology,63,74
OBC,36,38,Chemical Engineering,56,67
ST,156,181,Computer Science,64,49
General,205,200,Biotechnology,89,80
